TraitOriginalName,TraitAnnotation,TraitAnnotationID,Property,ProAnnotation,ProAnnotationID,ActualProValue,pmcId,tableId
Fruit weight,fruit weight,http://purl.obolibrary.org/obo/TO_0002746,Peak Marker or Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,At5g04590,PMC4321030,PMC4321030_TABLE 4_0
Fruit weight,fruit weight,http://purl.obolibrary.org/obo/TO_0002746,Flanking Markers,marker,http://purl.obolibrary.org/obo/SO_0001645 ,At1g44790-TG400,PMC4321030,PMC4321030_TABLE 4_0
Fruit weight,fruit weight,http://purl.obolibrary.org/obo/TO_0002746,Peak Marker or Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,At5g04590,PMC4321030,PMC4321030_TABLE 4_1
Fruit weight,fruit weight,http://purl.obolibrary.org/obo/TO_0002746,Flanking Markers,marker,http://purl.obolibrary.org/obo/SO_0001645 ,At1g44790-TG400,PMC4321030,PMC4321030_TABLE 4_1
Fruit weight,fruit weight,http://purl.obolibrary.org/obo/TO_0002746,Peak Marker or Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,TG358,PMC3852376,PMC3852376_Table 2
Fruit weight,fruit weight,http://purl.obolibrary.org/obo/TO_0002746,Peak Marker or Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,TG358,PMC3852376,PMC3852376_Table 4
Fruit width,fruit width,http://purl.obolibrary.org/obo/TO_0002627,Peak Marker or Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,TG194,PMC4321030,PMC4321030_TABLE 2
Fruit width,fruit width,http://purl.obolibrary.org/obo/TO_0002627,Flanking Markers,marker,http://purl.obolibrary.org/obo/SO_0001645 ,TG194-T0408,PMC4321030,PMC4321030_TABLE 2
Fruit width,fruit width,http://purl.obolibrary.org/obo/TO_0002627,Peak Marker or Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,TG194,PMC4321030,PMC4321030_TABLE 4_0
Fruit width,fruit width,http://purl.obolibrary.org/obo/TO_0002627,Flanking Markers,marker,http://purl.obolibrary.org/obo/SO_0001645 ,TG194-T0408,PMC4321030,PMC4321030_TABLE 4_0
Fruit width,fruit width,http://purl.obolibrary.org/obo/TO_0002627,Peak Marker or Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,TG194,PMC4321030,PMC4321030_TABLE 4_1
Fruit width,fruit width,http://purl.obolibrary.org/obo/TO_0002627,Flanking Markers,marker,http://purl.obolibrary.org/obo/SO_0001645 ,TG194-T0408,PMC4321030,PMC4321030_TABLE 4_1
Fruit width,fruit width,http://purl.obolibrary.org/obo/TO_0002627,Peak Marker or Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,At3g17210,PMC3852376,PMC3852376_Table 2
Fruit width,fruit width,http://purl.obolibrary.org/obo/TO_0002627,Peak Marker or Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,At3g17210,PMC3852376,PMC3852376_Table 4
FS,fruit shape,http://purl.obolibrary.org/obo/SP_0000038,Peak Marker or Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,At5g04590,PMC4321030,PMC4321030_TABLE 2
FS,fruit shape,http://purl.obolibrary.org/obo/SP_0000038,Flanking Markers,marker,http://purl.obolibrary.org/obo/SO_0001645 ,At2g14260-TG400,PMC4321030,PMC4321030_TABLE 2
FS,fruit shape,http://purl.obolibrary.org/obo/SP_0000038,Peak Marker or Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,At5g04590,PMC4321030,PMC4321030_TABLE 4_0
FS,fruit shape,http://purl.obolibrary.org/obo/SP_0000038,Flanking Markers,marker,http://purl.obolibrary.org/obo/SO_0001645 ,At2g14260-TG400,PMC4321030,PMC4321030_TABLE 4_0
FS,fruit shape,http://purl.obolibrary.org/obo/SP_0000038,Peak Marker or Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,At5g04590,PMC4321030,PMC4321030_TABLE 4_1
FS,fruit shape,http://purl.obolibrary.org/obo/SP_0000038,Flanking Markers,marker,http://purl.obolibrary.org/obo/SO_0001645 ,At2g14260-TG400,PMC4321030,PMC4321030_TABLE 4_1
FS,fruit shape,http://purl.obolibrary.org/obo/SP_0000038,Peak Marker or Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,TG358,PMC3852376,PMC3852376_Table 2
FS,fruit shape,http://purl.obolibrary.org/obo/SP_0000038,Peak Marker or Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,TG358,PMC3852376,PMC3852376_Table 4
H,plant height,http://purl.obolibrary.org/obo/TO_0000207,Peak Marker or Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,TG194,PMC4321030,PMC4321030_TABLE 2
H,plant height,http://purl.obolibrary.org/obo/TO_0000207,Flanking Markers,marker,http://purl.obolibrary.org/obo/SO_0001645 ,TG194-T0408,PMC4321030,PMC4321030_TABLE 2
H,plant height,http://purl.obolibrary.org/obo/TO_0000207,Peak Marker or Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,TG194,PMC4321030,PMC4321030_TABLE 4_0
H,plant height,http://purl.obolibrary.org/obo/TO_0000207,Flanking Markers,marker,http://purl.obolibrary.org/obo/SO_0001645 ,TG194-T0408,PMC4321030,PMC4321030_TABLE 4_0
H,plant height,http://purl.obolibrary.org/obo/TO_0000207,Peak Marker or Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,TG194,PMC4321030,PMC4321030_TABLE 4_1
H,plant height,http://purl.obolibrary.org/obo/TO_0000207,Flanking Markers,marker,http://purl.obolibrary.org/obo/SO_0001645 ,TG194-T0408,PMC4321030,PMC4321030_TABLE 4_1
H,plant height,http://purl.obolibrary.org/obo/TO_0000207,Peak Marker or Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,TG358,PMC3852376,PMC3852376_Table 2
H,plant height,http://purl.obolibrary.org/obo/TO_0000207,Peak Marker or Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,TG358,PMC3852376,PMC3852376_Table 4
HAB,plant habit,http://purl.obolibrary.org/obo/SP_0000003,Peak Marker or Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,J1,PMC4321030,PMC4321030_TABLE 2
HAB,plant habit,http://purl.obolibrary.org/obo/SP_0000003,Flanking Markers,marker,http://purl.obolibrary.org/obo/SO_0001645 ,TG194-TG523,PMC4321030,PMC4321030_TABLE 2
HAB,plant habit,http://purl.obolibrary.org/obo/SP_0000003,Peak Marker or Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,J1,PMC4321030,PMC4321030_TABLE 4_0
HAB,plant habit,http://purl.obolibrary.org/obo/SP_0000003,Flanking Markers,marker,http://purl.obolibrary.org/obo/SO_0001645 ,TG194-TG523,PMC4321030,PMC4321030_TABLE 4_0
HAB,plant habit,http://purl.obolibrary.org/obo/SP_0000003,Peak Marker or Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,J1,PMC4321030,PMC4321030_TABLE 4_1
HAB,plant habit,http://purl.obolibrary.org/obo/SP_0000003,Flanking Markers,marker,http://purl.obolibrary.org/obo/SO_0001645 ,TG194-TG523,PMC4321030,PMC4321030_TABLE 4_1
HAB,plant habit,http://purl.obolibrary.org/obo/SP_0000003,Peak Marker or Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,TG358,PMC3852376,PMC3852376_Table 2
HAB,plant habit,http://purl.obolibrary.org/obo/SP_0000003,Peak Marker or Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,TG358,PMC3852376,PMC3852376_Table 4
log (t-LYC),lycopene content,http://purl.obolibrary.org/obo/TO_0002699,ASSOCIATION STATISTICS,ASSOCIATION STATISTICS,,Solyc03g031480.2.1,PMC4266912,PMC4266912_Table 3
log (β-C),lycopene content,http://purl.obolibrary.org/obo/TO_0002699,ASSOCIATION STATISTICS,ASSOCIATION STATISTICS,,Solyc01g087600.2.1,PMC4266912,PMC4266912_Table 3
Maturity,Maturity,http://purl.obolibrary.org/obo/TO_0000174,Peak Marker or Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,J1,PMC4321030,PMC4321030_TABLE 1
Maturity,Maturity,http://purl.obolibrary.org/obo/TO_0000174,Flanking Markers,marker,http://purl.obolibrary.org/obo/SO_0001645 ,TG194-TG523,PMC4321030,PMC4321030_TABLE 1
Maturity,Maturity,http://purl.obolibrary.org/obo/TO_0000174,Peak Marker or Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,J1,PMC4321030,PMC4321030_TABLE 2
Maturity,Maturity,http://purl.obolibrary.org/obo/TO_0000174,Flanking Markers,marker,http://purl.obolibrary.org/obo/SO_0001645 ,TG194-TG523,PMC4321030,PMC4321030_TABLE 2
Maturity,Maturity,http://purl.obolibrary.org/obo/TO_0000174,Peak Marker or Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,J1,PMC4321030,PMC4321030_TABLE 4_0
Maturity,Maturity,http://purl.obolibrary.org/obo/TO_0000174,Flanking Markers,marker,http://purl.obolibrary.org/obo/SO_0001645 ,TG194-TG523,PMC4321030,PMC4321030_TABLE 4_0
Maturity,Maturity,http://purl.obolibrary.org/obo/TO_0000174,Peak Marker or Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,J1,PMC4321030,PMC4321030_TABLE 4_1
Maturity,Maturity,http://purl.obolibrary.org/obo/TO_0000174,Flanking Markers,marker,http://purl.obolibrary.org/obo/SO_0001645 ,TG194-TG523,PMC4321030,PMC4321030_TABLE 4_1
Maturity,Maturity,http://purl.obolibrary.org/obo/TO_0000174,Peak Marker or Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,TG358,PMC3852376,PMC3852376_Table 1
Maturity,Maturity,http://purl.obolibrary.org/obo/TO_0000174,Peak Marker or Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,TG358,PMC3852376,PMC3852376_Table 2
Maturity,Maturity,http://purl.obolibrary.org/obo/TO_0000174,Peak Marker or Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,TG358,PMC3852376,PMC3852376_Table 4
Brix,total soluble solids,http://purl.obolibrary.org/obo/SP_0000165,Peak Marker or Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,T0408,PMC4321030,PMC4321030_TABLE 2
Brix,total soluble solids,http://purl.obolibrary.org/obo/SP_0000165,Flanking Markers,marker,http://purl.obolibrary.org/obo/SO_0001645 ,TG194-J1,PMC4321030,PMC4321030_TABLE 2
Brix,total soluble solids,http://purl.obolibrary.org/obo/SP_0000165,Peak Marker or Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,T0408,PMC4321030,PMC4321030_TABLE 4_0
Brix,total soluble solids,http://purl.obolibrary.org/obo/SP_0000165,Flanking Markers,marker,http://purl.obolibrary.org/obo/SO_0001645 ,TG194-J1,PMC4321030,PMC4321030_TABLE 4_0
Brix,total soluble solids,http://purl.obolibrary.org/obo/SP_0000165,Peak Marker or Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,T0408,PMC4321030,PMC4321030_TABLE 4_1
Brix,total soluble solids,http://purl.obolibrary.org/obo/SP_0000165,Flanking Markers,marker,http://purl.obolibrary.org/obo/SO_0001645 ,TG194-J1,PMC4321030,PMC4321030_TABLE 4_1
pH,pH,http://purl.obolibrary.org/obo/SP_0000170,Peak Marker or Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,At5g16710,PMC4321030,PMC4321030_TABLE 2
pH,pH,http://purl.obolibrary.org/obo/SP_0000170,Flanking Markers,marker,http://purl.obolibrary.org/obo/SO_0001645 ,At2g22570-U340899,PMC4321030,PMC4321030_TABLE 2
pH,pH,http://purl.obolibrary.org/obo/SP_0000170,Peak Marker or Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,At5g16710,PMC4321030,PMC4321030_TABLE 4_0
pH,pH,http://purl.obolibrary.org/obo/SP_0000170,Flanking Markers,marker,http://purl.obolibrary.org/obo/SO_0001645 ,At2g22570-U340899,PMC4321030,PMC4321030_TABLE 4_0
pH,pH,http://purl.obolibrary.org/obo/SP_0000170,Peak Marker or Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,At5g16710,PMC4321030,PMC4321030_TABLE 4_1
pH,pH,http://purl.obolibrary.org/obo/SP_0000170,Flanking Markers,marker,http://purl.obolibrary.org/obo/SO_0001645 ,At2g22570-U340899,PMC4321030,PMC4321030_TABLE 4_1
pH,pH,http://purl.obolibrary.org/obo/SP_0000170,Peak Marker or Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,TG358,PMC3852376,PMC3852376_Table 2
pH,pH,http://purl.obolibrary.org/obo/SP_0000170,Peak Marker or Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,TG358,PMC3852376,PMC3852376_Table 4
log (pH),pH,http://purl.obolibrary.org/obo/SP_0000170,ASSOCIATION STATISTICS,ASSOCIATION STATISTICS,,Solyc11g017070.1.1,PMC4266912,PMC4266912_Table 3
log (PHE),phenolic compound content,http://purl.obolibrary.org/obo/TO_0020076,ASSOCIATION STATISTICS,ASSOCIATION STATISTICS,,Solyc08g082350.2.1,PMC4266912,PMC4266912_Table 3
Plant architecture,plant morphology trait,http://purl.obolibrary.org/obo/TO_0000017,Peak Marker or Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,J1,PMC4321030,PMC4321030_TABLE 1
Plant architecture,plant morphology trait,http://purl.obolibrary.org/obo/TO_0000017,Flanking Markers,marker,http://purl.obolibrary.org/obo/SO_0001645 ,TG194-TG523,PMC4321030,PMC4321030_TABLE 1
Plant architecture,plant morphology trait,http://purl.obolibrary.org/obo/TO_0000017,Peak Marker or Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,J1,PMC4321030,PMC4321030_TABLE 2
Plant architecture,plant morphology trait,http://purl.obolibrary.org/obo/TO_0000017,Flanking Markers,marker,http://purl.obolibrary.org/obo/SO_0001645 ,TG194-TG523,PMC4321030,PMC4321030_TABLE 2
Plant architecture,plant morphology trait,http://purl.obolibrary.org/obo/TO_0000017,Peak Marker or Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,J1,PMC4321030,PMC4321030_TABLE 4_0
Plant architecture,plant morphology trait,http://purl.obolibrary.org/obo/TO_0000017,Flanking Markers,marker,http://purl.obolibrary.org/obo/SO_0001645 ,TG194-TG523,PMC4321030,PMC4321030_TABLE 4_0
Plant architecture,plant morphology trait,http://purl.obolibrary.org/obo/TO_0000017,Peak Marker or Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,J1,PMC4321030,PMC4321030_TABLE 4_1
Plant architecture,plant morphology trait,http://purl.obolibrary.org/obo/TO_0000017,Flanking Markers,marker,http://purl.obolibrary.org/obo/SO_0001645 ,TG194-TG523,PMC4321030,PMC4321030_TABLE 4_1
Plant architecture,plant morphology trait,http://purl.obolibrary.org/obo/TO_0000017,Peak Marker or Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,TG358,PMC3852376,PMC3852376_Table 2
Plant architecture,plant morphology trait,http://purl.obolibrary.org/obo/TO_0000017,Peak Marker or Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,TG358,PMC3852376,PMC3852376_Table 4
Canopy density,plant canopy,http://purl.obolibrary.org/obo/SP_0000236,Peak Marker or Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,J1,PMC4321030,PMC4321030_TABLE 2
Canopy density,plant canopy,http://purl.obolibrary.org/obo/SP_0000236,Flanking Markers,marker,http://purl.obolibrary.org/obo/SO_0001645 ,TG194-TG523,PMC4321030,PMC4321030_TABLE 2
Canopy density,plant canopy,http://purl.obolibrary.org/obo/SP_0000236,Peak Marker or Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,J1,PMC4321030,PMC4321030_TABLE 4_0
Canopy density,plant canopy,http://purl.obolibrary.org/obo/SP_0000236,Flanking Markers,marker,http://purl.obolibrary.org/obo/SO_0001645 ,TG194-TG523,PMC4321030,PMC4321030_TABLE 4_0
Canopy density,plant canopy,http://purl.obolibrary.org/obo/SP_0000236,Peak Marker or Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,J1,PMC4321030,PMC4321030_TABLE 4_1
Canopy density,plant canopy,http://purl.obolibrary.org/obo/SP_0000236,Flanking Markers,marker,http://purl.obolibrary.org/obo/SO_0001645 ,TG194-TG523,PMC4321030,PMC4321030_TABLE 4_1
Canopy density,plant canopy,http://purl.obolibrary.org/obo/SP_0000236,Peak Marker or Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,TG358,PMC3852376,PMC3852376_Table 2
Canopy density,plant canopy,http://purl.obolibrary.org/obo/SP_0000236,Peak Marker or Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,TG358,PMC3852376,PMC3852376_Table 4
FW,plant fresh weight,http://purl.obolibrary.org/obo/TO_0000442,Peak Marker or Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,TG194,PMC4321030,PMC4321030_TABLE 2
FW,plant fresh weight,http://purl.obolibrary.org/obo/TO_0000442,Flanking Markers,marker,http://purl.obolibrary.org/obo/SO_0001645 ,TG194-T0408,PMC4321030,PMC4321030_TABLE 2
FW,plant fresh weight,http://purl.obolibrary.org/obo/TO_0000442,Peak Marker or Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,TG194,PMC4321030,PMC4321030_TABLE 4_0
FW,plant fresh weight,http://purl.obolibrary.org/obo/TO_0000442,Flanking Markers,marker,http://purl.obolibrary.org/obo/SO_0001645 ,TG194-T0408,PMC4321030,PMC4321030_TABLE 4_0
FW,plant fresh weight,http://purl.obolibrary.org/obo/TO_0000442,Peak Marker or Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,TG194,PMC4321030,PMC4321030_TABLE 4_1
FW,plant fresh weight,http://purl.obolibrary.org/obo/TO_0000442,Flanking Markers,marker,http://purl.obolibrary.org/obo/SO_0001645 ,TG194-T0408,PMC4321030,PMC4321030_TABLE 4_1
FW,plant fresh weight,http://purl.obolibrary.org/obo/TO_0000442,Peak Marker or Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,At3g17210,PMC3852376,PMC3852376_Table 2
FW,plant fresh weight,http://purl.obolibrary.org/obo/TO_0000442,Peak Marker or Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,At3g17210,PMC3852376,PMC3852376_Table 4
log (FW),plant fresh weight,http://purl.obolibrary.org/obo/TO_0000442,ASSOCIATION STATISTICS,ASSOCIATION STATISTICS,,Solyc02g078790.2.1,PMC4266912,PMC4266912_Table 3
Plant habit,plant habit,http://purl.obolibrary.org/obo/SP_0000003,Peak Marker or Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,J1,PMC4321030,PMC4321030_TABLE 2
Plant habit,plant habit,http://purl.obolibrary.org/obo/SP_0000003,Flanking Markers,marker,http://purl.obolibrary.org/obo/SO_0001645 ,TG194-TG523,PMC4321030,PMC4321030_TABLE 2
Plant habit,plant habit,http://purl.obolibrary.org/obo/SP_0000003,Peak Marker or Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,J1,PMC4321030,PMC4321030_TABLE 4_0
Plant habit,plant habit,http://purl.obolibrary.org/obo/SP_0000003,Flanking Markers,marker,http://purl.obolibrary.org/obo/SO_0001645 ,TG194-TG523,PMC4321030,PMC4321030_TABLE 4_0
Plant habit,plant habit,http://purl.obolibrary.org/obo/SP_0000003,Peak Marker or Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,J1,PMC4321030,PMC4321030_TABLE 4_1
Plant habit,plant habit,http://purl.obolibrary.org/obo/SP_0000003,Flanking Markers,marker,http://purl.obolibrary.org/obo/SO_0001645 ,TG194-TG523,PMC4321030,PMC4321030_TABLE 4_1
Plant habit,plant habit,http://purl.obolibrary.org/obo/SP_0000003,Peak Marker or Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,TG358,PMC3852376,PMC3852376_Table 2
Plant habit,plant habit,http://purl.obolibrary.org/obo/SP_0000003,Peak Marker or Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,TG358,PMC3852376,PMC3852376_Table 4
Plant height,plant height,http://purl.obolibrary.org/obo/TO_0000207,Peak Marker or Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,TG194,PMC4321030,PMC4321030_TABLE 2
Plant height,plant height,http://purl.obolibrary.org/obo/TO_0000207,Flanking Markers,marker,http://purl.obolibrary.org/obo/SO_0001645 ,TG194-T0408,PMC4321030,PMC4321030_TABLE 2
Plant height,plant height,http://purl.obolibrary.org/obo/TO_0000207,Peak Marker or Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,TG194,PMC4321030,PMC4321030_TABLE 4_0
Plant height,plant height,http://purl.obolibrary.org/obo/TO_0000207,Flanking Markers,marker,http://purl.obolibrary.org/obo/SO_0001645 ,TG194-T0408,PMC4321030,PMC4321030_TABLE 4_0
Plant height,plant height,http://purl.obolibrary.org/obo/TO_0000207,Peak Marker or Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,TG194,PMC4321030,PMC4321030_TABLE 4_1
Plant height,plant height,http://purl.obolibrary.org/obo/TO_0000207,Flanking Markers,marker,http://purl.obolibrary.org/obo/SO_0001645 ,TG194-T0408,PMC4321030,PMC4321030_TABLE 4_1
Plant height,plant height,http://purl.obolibrary.org/obo/TO_0000207,Peak Marker or Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,TG358,PMC3852376,PMC3852376_Table 2
Plant height,plant height,http://purl.obolibrary.org/obo/TO_0000207,Peak Marker or Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,TG358,PMC3852376,PMC3852376_Table 4
Morphological traits,plant morphology trait,http://purl.obolibrary.org/obo/TO_0000017,Solyc ID,Solyc ID,,Solyc02g083900.2.1,PMC4872001,PMC4872001_Table 2
Morphological traits,plant morphology trait,http://purl.obolibrary.org/obo/TO_0000017,Solyc ID,Solyc ID,,Solyc02g083900.2.1,PMC4872001,PMC4872001_Table 2
Morphological traits,plant morphology trait,http://purl.obolibrary.org/obo/TO_0000017,Solyc ID,Solyc ID,,Solyc02g083900.2.1,PMC4872001,PMC4872001_Table 2
Morphological traits,plant morphology trait,http://purl.obolibrary.org/obo/TO_0000017,Solyc ID,Solyc ID,,Solyc02g083900.2.1,PMC4872001,PMC4872001_Table 2
Morphological traits,plant morphology trait,http://purl.obolibrary.org/obo/TO_0000017,Solyc ID,Solyc ID,,Solyc02g083900.2.1,PMC4872001,PMC4872001_Table 2
Morphological traits,plant morphology trait,http://purl.obolibrary.org/obo/TO_0000017,Solyc ID,Solyc ID,,Solyc02g083900.2.1,PMC4872001,PMC4872001_Table 2
Morphological traits,plant morphology trait,http://purl.obolibrary.org/obo/TO_0000017,Solyc ID,Solyc ID,,Solyc02g083900.2.1,PMC4872001,PMC4872001_Table 2
Morphological traits,plant morphology trait,http://purl.obolibrary.org/obo/TO_0000017,Solyc ID,Solyc ID,,Solyc02g083900.2.1,PMC4872001,PMC4872001_Table 2
Morphological traits,plant morphology trait,http://purl.obolibrary.org/obo/TO_0000017,Solyc ID,Solyc ID,,Solyc02g083900.2.1,PMC4872001,PMC4872001_Table 2
Morphological traits,plant morphology trait,http://purl.obolibrary.org/obo/TO_0000017,Solyc ID,Solyc ID,,Solyc02g083900.2.1,PMC4872001,PMC4872001_Table 2
Morphological traits,plant morphology trait,http://purl.obolibrary.org/obo/TO_0000017,Solyc ID,Solyc ID,,Solyc02g083900.2.1,PMC4872001,PMC4872001_Table 2
Morphological traits,plant morphology trait,http://purl.obolibrary.org/obo/TO_0000017,Solyc ID,Solyc ID,,Solyc02g083900.2.1,PMC4872001,PMC4872001_Table 2
Morphological traits,plant morphology trait,http://purl.obolibrary.org/obo/TO_0000017,Solyc ID,Solyc ID,,Solyc02g083900.2.1,PMC4872001,PMC4872001_Table 2
Morphological traits,plant morphology trait,http://purl.obolibrary.org/obo/TO_0000017,Solyc ID,Solyc ID,,Solyc02g083900.2.1,PMC4872001,PMC4872001_Table 2
Morphological traits,plant morphology trait,http://purl.obolibrary.org/obo/TO_0000017,Solyc ID,Solyc ID,,Solyc02g083900.2.1,PMC4872001,PMC4872001_Table 2
Morphological traits,plant morphology trait,http://purl.obolibrary.org/obo/TO_0000017,Solyc ID,Solyc ID,,Solyc02g083900.2.1,PMC4872001,PMC4872001_Table 2
Morphological traits,plant morphology trait,http://purl.obolibrary.org/obo/TO_0000017,Solyc ID,Solyc ID,,Solyc02g083900.2.1,PMC4872001,PMC4872001_Table 2
Morphological traits,plant morphology trait,http://purl.obolibrary.org/obo/TO_0000017,Solyc ID,Solyc ID,,Solyc02g083900.2.1,PMC4872001,PMC4872001_Table 2
Morphological traits,plant morphology trait,http://purl.obolibrary.org/obo/TO_0000017,Solyc ID,Solyc ID,,Solyc02g083900.2.1,PMC4872001,PMC4872001_Table 2
Morphological traits,plant morphology trait,http://purl.obolibrary.org/obo/TO_0000017,Solyc ID,Solyc ID,,Solyc02g083900.2.1,PMC4872001,PMC4872001_Table 2
Morphological traits,plant morphology trait,http://purl.obolibrary.org/obo/TO_0000017,Solyc ID,Solyc ID,,Solyc02g083900.2.1,PMC4872001,PMC4872001_Table 2
Morphological traits,plant morphology trait,http://purl.obolibrary.org/obo/TO_0000017,Solyc ID,Solyc ID,,Solyc02g083900.2.1,PMC4872001,PMC4872001_Table 2
Morphological traits,plant morphology trait,http://purl.obolibrary.org/obo/TO_0000017,Solyc ID,Solyc ID,,Solyc02g083900.2.1,PMC4872001,PMC4872001_Table 2
Morphological traits,plant morphology trait,http://purl.obolibrary.org/obo/TO_0000017,Solyc ID,Solyc ID,,Solyc02g083900.2.1,PMC4872001,PMC4872001_Table 2
Morphological traits,plant morphology trait,http://purl.obolibrary.org/obo/TO_0000017,Solyc ID,Solyc ID,,Solyc02g083900.2.1,PMC4872001,PMC4872001_Table 2
Morphological traits,plant morphology trait,http://purl.obolibrary.org/obo/TO_0000017,Solyc ID,Solyc ID,,Solyc02g083900.2.1,PMC4872001,PMC4872001_Table 2
Morphological traits,plant morphology trait,http://purl.obolibrary.org/obo/TO_0000017,Solyc ID,Solyc ID,,Solyc02g083900.2.1,PMC4872001,PMC4872001_Table 2
Morphological traits,plant morphology trait,http://purl.obolibrary.org/obo/TO_0000017,Solyc ID,Solyc ID,,Solyc02g083900.2.1,PMC4872001,PMC4872001_Table 2
Morphological traits,plant morphology trait,http://purl.obolibrary.org/obo/TO_0000017,Solyc ID,Solyc ID,,Solyc02g083900.2.1,PMC4872001,PMC4872001_Table 2
Morphological traits,plant morphology trait,http://purl.obolibrary.org/obo/TO_0000017,Solyc ID,Solyc ID,,Solyc02g083900.2.1,PMC4872001,PMC4872001_Table 2
Morphological traits,plant morphology trait,http://purl.obolibrary.org/obo/TO_0000017,Solyc ID,Solyc ID,,Solyc02g083900.2.1,PMC4872001,PMC4872001_Table 2
Morphological traits,plant morphology trait,http://purl.obolibrary.org/obo/TO_0000017,Solyc ID,Solyc ID,,Solyc02g083900.2.1,PMC4872001,PMC4872001_Table 2
Morphological traits,plant morphology trait,http://purl.obolibrary.org/obo/TO_0000017,Solyc ID,Solyc ID,,Solyc02g083900.2.1,PMC4872001,PMC4872001_Table 2
Morphological traits,plant morphology trait,http://purl.obolibrary.org/obo/TO_0000017,Solyc ID,Solyc ID,,Solyc02g083900.2.1,PMC4872001,PMC4872001_Table 2
Morphological traits,plant morphology trait,http://purl.obolibrary.org/obo/TO_0000017,Solyc ID,Solyc ID,,Solyc02g083900.2.1,PMC4872001,PMC4872001_Table 2
Morphological traits,plant morphology trait,http://purl.obolibrary.org/obo/TO_0000017,Solyc ID,Solyc ID,,Solyc02g083900.2.1,PMC4872001,PMC4872001_Table 2
