PO:0000001	embryo proper
PO:0008042	stem internode differentiation zone
PO:0008043	floral epidermis
PO:0025096	carpel epidermis
PO:0025097	stamen epidermis
PO:0025184	tepal epidermis
PO:0008044	floral stomatal complex
PO:0025217	carpel stomatal complex
PO:0025218	petal stomatal complex
PO:0025219	sepal stomatal complex
PO:0025220	stamen stomatal complex
PO:0025221	tepal stomatal complex
PO:0008045	floral guard cell
PO:0008046	floral stomatal pore
PO:0008047	scutellar vascular system
PO:0008048	scutellar epithelium
PO:0009000	pulvinus
PO:0009001	fruit
PO:0009002	plant cell
PO:0009003	sporophyte
PO:0028002	sporophyte development stage
PO:0009004	gametophyte
PO:0028003	gametophyte development stage
PO:0025279	megagametophyte
PO:0025280	microgametophyte
PO:0009005	root
PO:0009006	shoot system
PO:0009007	portion of plant tissue
PO:0009008	plant organ
PO:0009009	plant embryo
PO:0009010	seed
PO:0009011	plant structure
PO:0009012	plant structure development stage
PO:0009013	portion of meristem tissue
PO:0009014	dermal tissue
PO:0009015	portion of vascular tissue
PO:0009016	ground tissue
PO:0025059	portion of ground tissue
PO:0009017	inflorescence branch pulvinus
PO:0009018	basal endosperm transfer cell
PO:0009019	obsolete basal endosperm transfer layer
PO:0025196	basal endosperm transfer layer
PO:0009023	leaf axil
PO:0009025	vascular leaf
PO:0009026	sporophyll
PO:0009027	megasporophyll
PO:0009028	microsporophyll
PO:0009029	stamen
PO:0009030	carpel
PO:0009031	sepal
PO:0009032	petal
PO:0009033	tepal
PO:0009034	flower bract
PO:0009035	nectary
PO:0009036	lodicule
PO:0009037	lemma
PO:0009038	palea
PO:0009039	glume
PO:0009040	sterile lemma
PO:0009041	fertile lemma
PO:0009042	prophyll
PO:0009043	bracteole
PO:0009044	perigynium
PO:0009045	involucral bract
PO:0009046	flower
PO:0009047	stem
PO:0009049	inflorescence
PO:0009051	spikelet
PO:0009052	pedicel
PO:0009053	peduncle
PO:0009054	inflorescence bract
PO:0009055	bract
PO:0009056	flower nectary
PO:0009057	extrafloral nectary
PO:0009058	perianth
PO:0009059	corolla
PO:0009060	calyx
PO:0009061	androecium
PO:0009062	gynoecium
PO:0009063	epicalyx
PO:0009064	receptacle
PO:0009065	hypanthium
PO:0009066	anther
PO:0009067	filament
PO:0009068	connective
PO:0009069	anther theca
PO:0009070	obsolete pollen sac
PO:0025277	pollen sac
PO:0009071	anther wall tapetum
PO:0009072	plant ovary
PO:0009073	stigma
PO:0009074	style
PO:0009075	plant ontology
PO:0009077	staminode
PO:0009078	pistillode
PO:0009080	spikelet rachilla
PO:0009081	inflorescence branch
PO:0009082	spikelet floret
PO:0009083	reproductive structures
PO:0009084	pericarp
PO:0009085	exocarp
PO:0009086	endocarp
PO:0009087	mesocarp
PO:0009088	seed coat
PO:0009089	endosperm
PO:0009090	aril
PO:0009091	mature dispersal unit
PO:0009100	involucre
PO:0009101	long lateral tassel branch
PO:0009102	short tassel branch
PO:0009103	short tassel branch meristem
PO:0009104	long lateral tassel branch meristem
PO:0009105	inflorescence branch meristem
PO:0009106	tassel meristem
PO:0009107	tassel inflorescence branch meristem
PO:0009108	inflorescence apical meristem
PO:0009109	ear meristem
PO:0009110	ear inflorescence branch meristem
PO:0009111	petiole pulvinus
PO:0019018	plant embryo axis
PO:0019022	arilloid
PO:0019023	strophiole
PO:0019024	seed operculum
PO:0019026	tracheid bar
PO:0020001	ovary placenta
PO:0020002	anther wall endothecium
PO:0020003	plant ovule
PO:0020004	anther wall exothecium
PO:0020005	placentoid
PO:0020006	funicle
PO:0020008	exine
PO:0020009	ectexine
PO:0020010	endexine
PO:0020011	nexine
PO:0020012	sexine
PO:0020013	tectum
PO:0020014	columella
PO:0020015	sculpture elements
PO:0020016	foot layer
PO:0020017	intine
PO:0020018	germination pore
PO:0020019	megaspore
PO:0020020	nucellus
PO:0020021	integument
PO:0020022	inner integument
PO:0020023	outer integument
PO:0020024	endothelium
PO:0020025	micropyle
PO:0020026	chalaza
PO:0020027	raphe
PO:0020028	antiraphe
PO:0020029	obturator
PO:0020030	cotyledon
PO:0020031	radicle
PO:0020032	plumule
PO:0020033	coleoptile
PO:0020034	coleorhiza
PO:0020035	epicotyl
PO:0020036	epiblast
PO:0020037	mesocotyl
PO:0020038	petiole
PO:0020039	leaf lamina
PO:0020040	leaf base
PO:0020041	stipule
PO:0020042	simple leaf
PO:0020043	compound leaf
PO:0020044	hyperphyll
PO:0020045	pinnate leaf
PO:0020046	palmate leaf
PO:0020047	microsporocyte
PO:0020048	microspore
PO:0020049	leaflet
PO:0020050	petiolule
PO:0020051	stipel
PO:0020052	megaphyll
PO:0020053	microphyll
PO:0020054	bud scale leaf
PO:0020055	leaf rachis
PO:0020056	tegmen
PO:0020057	testa
PO:0020058	perisperm
PO:0020059	pollen wall
PO:0020060	caruncle
PO:0020061	coma
PO:0020062	elaiosome
PO:0020063	hilum
PO:0020064	dehiscent fruit
PO:0020065	indehiscent fruit
PO:0020066	fleshy fruit
PO:0020075	mericarp
PO:0020081	seed as dispersal unit
PO:0020084	pyrene
PO:0020085	seed and fruit wall as dispersal unit
PO:0020086	multiple fruit
PO:0020090	embryo sac central cell
PO:0020091	obsolete microgametophyte
PO:0025281	pollen
PO:0025283	antheridium microgametophyte
PO:0020092	obsolete megagametophyte
PO:0025074	embryo sac
PO:0025282	archegonium megagametophyte
PO:0020093	antipodal cell
PO:0020094	plant egg cell
PO:0020095	polar nucleus
PO:0020096	egg apparatus
PO:0020097	generative cell
PO:0020099	vegetative cell
PO:0020100	hypocotyl
PO:0020101	stomium
PO:0020102	portion of transmitting tissue
PO:0020103	flag leaf
PO:0020104	leaf sheath
PO:0020105	ligule
PO:0020106	leaf sheath auricle
PO:0020108	suspensor
PO:0020109	embryo hypophysis
PO:0020110	scutellum
PO:0020121	lateral root
PO:0020122	inflorescence axis
PO:0020123	root cap
PO:0020124	root stele
PO:0020125	elongation zone
PO:0025181	root elongation zone
PO:0020126	tassel inflorescence
PO:0020127	primary root
PO:0020128	leaf margin
PO:0020130	central root cap
PO:0020131	lateral root cap
PO:0020132	columella root cap cell
PO:0020133	columella root cap initial cell
PO:0020134	statolith
PO:0020135	root differentiation zone
PO:0020136	ear inflorescence
PO:0020137	leaf apex
PO:0020138	leaf lamina vein
PO:0020139	leaf midvein
PO:0020140	secondary leaf vein
PO:0020141	stem node
PO:0020142	stem internode
PO:0020144	apical meristem
PO:0020145	lateral meristem
PO:0020147	root apical meristem
PO:0020148	shoot apical meristem
PO:0020149	quiescent center
PO:0021002	calyx absolute size
PO:0021003	calyx relationship
PO:0021004	inflorescence initiation stage
PO:0025001	cardinal organ part
PO:0025002	basal root
PO:0025003	tuber axillary shoot
PO:0025004	plant axis
PO:0025005	organ margin
PO:0025006	gamete
PO:0025007	collective plant organ structure
PO:0025008	petal margin
PO:0025009	leaf lamina margin
PO:0025010	petiole margin
PO:0025011	bract margin
PO:0025012	cotyledon margin
PO:0025013	prophyll margin
PO:0025014	scale leaf margin
PO:0025015	tepal margin
PO:0025016	sporophyll margin
PO:0025017	plant spore
PO:0025018	phyllome margin
PO:0025019	carpel margin
PO:0025020	stamen margin
PO:0025021	collective tepal structure
PO:0025023	collective phyllome structure
PO:0025024	branch node
PO:0025025	root system
PO:0025026	embryo sac cell
PO:0025027	microgametophytic cell
PO:0025028	embryo plant cell
PO:0025029	shoot axis
PO:0025030	ground tissue cell
PO:0025032	hydroid
PO:0025033	leptoid
PO:0025034	leaf
PO:0025035	storage parenchyma
PO:0025036	tuber storage parenchyma
PO:0025037	fruit storage parenchyma
PO:0025038	subterranean tuber storage parenchyma
PO:0025039	aerial tuber storage parenchyma
PO:0025040	shoot axis tuber axillary vegetative bud
PO:0025041	aerial tuber axillary vegetative bud
PO:0025042	subterranean tuber axillary vegetative bud
PO:0025043	shoot axis tuber periderm
PO:0025044	aerial tuber periderm
PO:0025045	subterranean tuber periderm
PO:0025046	shoot axis tuber epidermis
PO:0025047	aerial tuber epidermis
PO:0025048	subterranean tuber epidermis
PO:0025049	subterranean tuber interfascicular region
PO:0025050	tuber interfascicular region
PO:0025051	aerial tuber interfascicular region
PO:0025052	tuber pith
PO:0025053	subterranean tuber pith
PO:0025054	aerial tuber pith
PO:0025055	tuber cortex
PO:0025056	aerial tuber cortex
PO:0025057	subterranean tuber cortex
PO:0025058	perimedullary zone
PO:0025060	lamina
PO:0025061	tuber perimedullary zone
PO:0025062	aerial tuber perimedullary zone
PO:0025063	subterranean tuber perimedullary zone
PO:0025064	shoot axis perimedullary zone
PO:0025065	root perimedullary zone
PO:0025066	stalk
PO:0025067	seed storage parenchyma
PO:0025068	shoot axis tuber axillary bud meristem
PO:0025069	aerial tuber axillary bud meristem
PO:0025070	subterranean tuber axillary bud meristem
PO:0025071	terminal reproductive bud
PO:0025072	axillary reproductive bud
PO:0025073	branch
PO:0025075	non-vascular leaf
PO:0025076	axillary strobilus bud
PO:0025077	terminal strobilus bud
PO:0025078	placenta
PO:0025079	aerial tuber axillary shoot
PO:0025080	branch internode
PO:0025081	subterranean tuber axillary shoot
PO:0025082	reproductive shoot system
PO:0025083	strobilus
PO:0025084	reproductive bud
PO:0025085	strobilus bud
PO:0025088	gynoecium ridge
PO:0025092	dehiscence zone
PO:0025093	spore capsule annulus
PO:0025094	sporangium
PO:0025095	root parenchyma
PO:0025098	bract trichome
PO:0025099	embryo plant structure
PO:0025100	shoot internode elongation zone
PO:0025101	branch internode elongation zone
PO:0025102	shoot internode differentiation zone
PO:0025103	branch internode differentiation zone
PO:0025104	first order inflorescence axis
PO:0025105	third order inflorescence branch
PO:0025106	fourth order inflorescence branch
PO:0025107	fifth order inflorescence branch
PO:0025108	sixth order inflorescence branch
PO:0025109	seventh order inflorescence branch
PO:0025110	eighth order inflorescence branch
PO:0025111	ninth or higher order inflorescence branch
PO:0025112	primary infructescence branch
PO:0025113	second order infructescence branch
PO:0025114	third order infructescence branch
PO:0025115	fourth order infructescence branch
PO:0025116	fifth order infructescence branch
PO:0025117	plant anatomical space
PO:0025118	anther pore
PO:0025119	plant axis differentiation zone
PO:0025120	antheridium sperm cell
PO:0025121	pollen sperm cell
PO:0025122	archegonium egg cell
PO:0025123	embryo sac egg cell
PO:0025124	multicellular plant gametangium
PO:0025125	antheridium
PO:0025126	archegonium
PO:0025127	primordium
PO:0025128	phyllome primordium
PO:0025129	petiole lamina
PO:0025130	cigar leaf
PO:0025131	plant anatomical entity
PO:0025132	canal
PO:0025133	petiole canal
PO:0025134	inflorescence branch crown
PO:0025135	cigar leaf lamina abaxial epidermis
PO:0025136	free tepal
PO:0025137	fused tepal
PO:0025138	fused collective tepal structure
PO:0025139	phyllome apex
PO:0025140	phyllome base
PO:0025141	phyllome tip
PO:0025142	leaf tip
PO:0025143	tepal apex
PO:0025144	petal apex
PO:0025145	sepal apex
PO:0025146	petal base
PO:0025147	sepal base
PO:0025148	tepal base
PO:0025149	petal tip
PO:0025150	sepal tip
PO:0025151	tepal tip
PO:0025152	peduncle epidermis
PO:0025153	peduncle trichome
PO:0025154	bract apex
PO:0025155	bract base
PO:0025156	bract tip
PO:0025157	phyllome epidermis
PO:0025158	bract epidermis
PO:0025159	bract abaxial epidermis
PO:0025160	bract adaxial epidermis
PO:0025161	portion of plant substance
PO:0025162	multicellular trichome
PO:0025164	root epidermal cell
PO:0025165	shoot epidermal cell
PO:0025169	prickle
PO:0025170	root prickle
PO:0025171	shoot axis prickle
PO:0025172	thorn
PO:0025173	spine leaf
PO:0025174	spine stipule
PO:0025175	leaf prickle
PO:0025176	stem trichome
PO:0025177	branch trichome
PO:0025178	stem epidermis
PO:0025179	branch epidermis
PO:0025180	plant axis elongation zone
PO:0025182	sepal trichome
PO:0025183	leaf stomatal complex
PO:0025185	leaf lamina stomatal complex
PO:0025186	phyllome trichome
PO:0025187	petal trichome
PO:0025188	tepal trichome
PO:0025189	petiole stomatal complex
PO:0025190	leaf abaxial stomatal complex
PO:0025191	leaf adaxial stomatal complex
PO:0025192	tepal abaxial epidermis
PO:0025193	tepal adaxial epidermis
PO:0025194	root nodule meristem
PO:0025197	stele
PO:0025198	shoot axis stele
PO:0025199	branch stele
PO:0025200	stem stele
PO:0025201	megasporangium
PO:0025202	microsporangium
PO:0025203	pericarp vascular bundle
PO:0025204	rhizome internode
PO:0025205	shoot system vascular system
PO:0025206	phyllome vascular system
PO:0025207	tepal vascular system
PO:0025208	carpel trichome
PO:0025209	stamen trichome
PO:0025210	leaf abaxial trichome
PO:0025211	leaf adaxial trichome
PO:0025212	leaf pavement cell
PO:0025213	leaf abaxial pavement cell
PO:0025214	leaf adaxial pavement cell
PO:0025215	phyllome stomatal complex
PO:0025216	bract stomatal complex
PO:0025222	reproductive shoot apex
PO:0025223	vegetative shoot apex
PO:0025224	axil
PO:0025225	bract axil
PO:0025226	branch axil
PO:0025227	tetrad of megaspores
PO:0025228	valve
PO:0025229	spore capsule valve
PO:0025230	columella
PO:0025231	spore capsule columella
PO:0025233	portion of embryo plant tissue
PO:0025234	phyllome stomatal pore
PO:0025235	leaf stomatal pore
PO:0025236	phyllome guard cell
PO:0025237	leaf guard cell
PO:0025238	abaxial petiole canal
PO:0025239	adaxial petiole canal
PO:0025240	second order inflorescence
PO:0025241	second order infructescence
PO:0025242	infructescence axis
PO:0025243	infructescence branch
PO:0025244	first order infructescence axis
PO:0025245	persistent sepal
PO:0025246	persistent tepal
PO:0025247	persistent stamen
PO:0025248	pseudostem
PO:0025249	leaf sheath epidermis
PO:0025250	leaf sheath abaxial epidermis
PO:0025251	leaf sheath adaxial epidermis
PO:0025252	sixth order infructescence branch
PO:0025253	seventh order infructescence branch
PO:0025254	eighth order infructescence branch
PO:0025255	ninth or higher order infructescence branch
PO:0025258	procambial cell
PO:0025259	leaf procambium
PO:0025260	shoot axis procambium
PO:0025261	pericycle cell
PO:0025263	locule
PO:0025264	anther locule
PO:0025265	sporangium locule
PO:0025266	ovary locule
PO:0025269	collective organ part structure
PO:0025270	fruit locule
PO:0025273	stem procambium
PO:0025274	branch procambium
PO:0025278	rhizome scale leaf
PO:0025285	callus parenchyma cell
PO:0025286	embryo coleoptile
PO:0025287	seedling coleoptile
PO:0025288	embryo coleorhiza
PO:0025289	seedling coleorhiza
PO:0025290	embryo hypocotyl
PO:0025291	seedling hypocotyl
PO:0025292	embryo epicotyl
PO:0025293	seedling epicotyl
PO:0025294	embryo mesocotyl
PO:0025295	seedling mesocotyl
PO:0025296	embryo radicle
PO:0025297	seedling radicle
PO:0025298	fruit operculum
PO:0025299	calyptra perianth
PO:0025329	calyptra calyx
PO:0025330	calyptra corolla
PO:0025300	embryo hypocotyl-root junction
PO:0025301	seedling hypocotyl-root junction
PO:0025302	somatic plant embryo
PO:0025303	zygotic plant embryo
PO:0025304	cultured zygote-derived plant embryo
PO:0025305	microspore-derived cultured plant embryo
PO:0025306	sporangium wall
PO:0025307	microsporangium wall
PO:0025308	megasporangium wall
PO:0025309	microsporangium endothecium
PO:0025310	megasporangium endothecium
PO:0025311	microsporangium exothecium
PO:0025312	megasporangium exothecium
PO:0025313	tapetum
PO:0025314	microsporangium tapetum
PO:0025315	megasporangium tapetum
PO:0025316	axillary hair
PO:0025317	axillary hair terminal cell
PO:0025318	axillary hair base
PO:0025319	axillary hair basal cell
PO:0025320	cotyledonary node rhizoid
PO:0025321	cotyledonary node
PO:0025322	hydathode pore
PO:0025323	flower fascicle
PO:0025324	banner petal
PO:0025325	wing petal
PO:0025326	keel petal
PO:0025327	keel
PO:0025328	unifacial vascular leaf
PO:0025331	ray flower
PO:0025332	disk flower
PO:0025333	ensiform vascular leaf
PO:0025334	terete vascular leaf
PO:0025335	phyllode leaf
PO:0025336	transition phyllode leaf
PO:0025337	life of whole plant stage
PO:0025338	collective plant organ structure development stage
PO:0025339	plant organ development stage
PO:0025340	gametophyte vegetative stage
PO:0025341	gametophyte reproductive stage
PO:0025342	gametophyte dormant stage
PO:0025343	gametophyte senescent stage
PO:0025344	gametophore reproductive whole plant development stage
PO:0025345	gametophore vegetative whole plant development stage
PO:0025346	thallus reproductive whole plant development stage
PO:0025347	thallus vegetative whole plant development stage
PO:0025348	phyllome lamina vein
PO:0025349	awn
PO:0025350	palea awn
PO:0025351	glume awn
PO:0025352	tubercle
PO:0025353	areole bud
PO:0025354	cladode
PO:0025355	corm
PO:0025356	bulb
PO:0025357	pneumatophore
PO:0025358	pneumatorhiza
PO:0025359	sorus
PO:0025360	ceonosorus
PO:0025361	leaf tendril
PO:0025362	leaflet tendril
PO:0025363	leaf apex tendril
PO:0025364	branch tendril
PO:0025365	stem apex tendril
PO:0025366	leaf rachis tendril
PO:0025367	prophyll tendril
PO:0025368	trichome development stage
PO:0025369	seed trichome development stage
PO:0025370	seed trichome initiation stage
PO:0025371	seed trichome elongation stage
PO:0025372	seed trichome secondary wall biosynthesis stage
PO:0025373	seed trichome maturation stage
PO:0025374	seed dormant stage
PO:0025375	plant spore stage
PO:0025376	plant spore dormant stage
PO:0025377	plant embryo dormant stage
PO:0025378	arillode
PO:0025379	intercellular space
PO:0025380	leaf mesophyll intercellular space
PO:0025381	spongy mesophyll intercellular space
PO:0025382	substomatal cavity
PO:0025383	phyllome sinus
PO:0025384	leaf sinus
PO:0025385	cutin
PO:0025386	cuticular wax
PO:0025387	plant cuticle proper
PO:0025388	epicuticular wax
PO:0025389	intercuticular wax
PO:0025390	free ending veinlet
PO:0025391	phyllome lamina areole
PO:0025392	leaf lamina areole
PO:0025393	pappus
PO:0025394	pappus element
PO:0025395	floral organ
PO:0025396	phyllome lamina
PO:0025397	palisade mesophyll intercellular space
PO:0025398	phyllome substomatal cavity
PO:0025399	leaf substomatal cavity
PO:0025400	phyllome adaxial meristem
PO:0025401	leaf adaxial meristem
PO:0025402	phyllome abaxial meristem
PO:0025403	leaf abaxial meristem
PO:0025404	phyllome marginal meristem
PO:0025405	leaf marginal meristem
PO:0025408	primary vascular tissue
PO:0025409	secondary vascular tissue
PO:0025410	axial system
PO:0025411	ray system
PO:0025412	albuminous cell
PO:0025413	primary leaf vein
PO:0025414	secondary thickening meristem
PO:0025415	sieve cell
PO:0025416	sieve tube
PO:0025417	xylem vessel
PO:0025418	sclerid cell
PO:0025419	septate fiber tracheid
PO:0025420	septate libriform fiber cell
PO:0025421	septate phloem fiber cell
PO:0025422	gelatinous fiber cell
PO:0025423	plant tissue development stage
PO:0025424	vascular tissue development stage
PO:0025425	xylem development stage
PO:0025426	phloem development stage
PO:0025427	secondary xylem development stage
PO:0025428	phyllome plate meristem
PO:0025429	leaf plate meristem
PO:0025430	phyllome anlagen
PO:0025431	vascular leaf anlagen
PO:0025432	cotyledon anlagen
PO:0025433	root anlagen
PO:0025434	petiole vascular bundle
PO:0025435	shoot axis cork cambium
PO:0025436	root cork cambium
PO:0025437	shoot axis vascular cambium
PO:0025438	root vascular cambium
PO:0025439	cambial zone
PO:0025440	shoot axis cambial zone
PO:0025441	root cambial zone
PO:0025442	stem secondary thickening meristem
PO:0025443	root secondary thickening meristem
PO:0025444	primary xylem tracheary element
PO:0025445	secondary xylem tracheary element
PO:0025446	primary xylem tracheid
PO:0025447	secondary xylem tracheid
PO:0025448	primary xylem vessel member
PO:0025449	secondary xylem vessel member
PO:0025450	primary xylem vessel
PO:0025451	secondary xylem vessel
PO:0025452	primary phloem sieve element
PO:0025453	secondary phloem sieve element
PO:0025454	primary phloem sieve cell
PO:0025455	primary phloem sieve tube element
PO:0025456	secondary phloem sieve cell
PO:0025457	secondary phloem sieve tube element
PO:0025458	transfer companion cell
PO:0025459	ordinary companion cell
PO:0025460	intermediary companion cell
PO:0025461	early wood tracheary element
PO:0025462	late wood tracheary element
PO:0025463	cell division stage of secondary xylem
PO:0025464	cell expansion stage of secondary xylem
PO:0025465	secondary cell wall formation stage of secondary xylem
PO:0025466	cell death stage of secondary xylem
PO:0025467	tracheary element death stage of secondary xylem
PO:0025468	secondary xylem parenchyma cell death stage of secondary xylem
PO:0025469	cell differentiation stage of secondary xylem
PO:0025470	embryo cotyledon
PO:0025471	seedling cotyledon
PO:0025472	reaction wood
PO:0025473	compression wood
PO:0025474	tension wood
PO:0025475	coleorhiza emergence stage
PO:0025476	tuberous root tuber
PO:0025478	androecium primordium
PO:0025481	leaflet primordium
PO:0025482	bract anlagen
PO:0025483	lodicule anlagen
PO:0025484	petal anlagen
PO:0025485	sepal anlagen
PO:0025486	stamen anlagen
PO:0025487	bract primordium
PO:0025488	flower bract primordium
PO:0025489	inflorescence bract primordium
PO:0025490	plant ovary ovule
PO:0025491	ovuliferous scale ovule
PO:0025492	pericyclic lateral root primordium
PO:0025493	non-pericyclic lateral root primordium
PO:0025494	pericyclic lateral root
PO:0025495	non-pericyclic lateral root
PO:0025496	multi-tissue plant structure
PO:0025497	collective plant structure
PO:0025498	cardinal part of multi-tissue plant structure
PO:0025499	sepal epidermis giant cell
PO:0025500	whole plant fruit development stage
PO:0025501	fruit formation stage
PO:0025502	fruit ripening stage
PO:0025503	fruit initiation stage
PO:0025504	fruit size up to 10% stage
PO:0025505	fruit size 10 to 30% stage
PO:0025506	fruit size 30 to 50% stage
PO:0025507	fruit size 50 to 70% stage
PO:0025508	fruit size 70% to final size stage
PO:0025509	archegonium central cell
PO:0025510	archegonium initial cell
PO:0025511	petal spur
PO:0025512	corolla spur
PO:0025513	organ lamina
PO:0025514	phyllome lamina lobe
PO:0025515	phyllome lamina tooth
PO:0025516	phyllome lamina crena
PO:0025517	leaf lamina lobe
PO:0025518	leaf lamina tooth
PO:0025519	leaf lamina crena
PO:0025520	leaf lamina intramarginal vein
PO:0025521	unicellular plant gametangium
PO:0025522	tuber
PO:0025523	tuberous root
PO:0025524	ventral canal cell
PO:0025525	spermatogenous cell
PO:0025526	body cell
PO:0025527	shoot system development stage
PO:0025528	bud development stage
PO:0025529	bud dormancy stage
PO:0025530	reproductive shoot system development stage
PO:0025531	bud swell stage
PO:0025532	bud burst stage
PO:0025533	prothallial cell
PO:0025534	adventitious shoot axis
PO:0025536	plant cuticle ridge
PO:0025537	unicellular trichome
PO:0025538	plant sap
PO:0025539	xylem sap
PO:0025540	phloem sap
PO:0025541	bundle sheath cell
PO:0025542	bundle sheath chlorenchyma cell
PO:0025543	tapetum cell
PO:0025544	microsporangium tapetum cell
PO:0025545	anther wall tapetum cell
PO:0025546	accessory paraclade
PO:0025547	cauline paraclade
PO:0025548	rosette paraclade
PO:0025549	trichome tip
PO:0025550	trichome apex
PO:0025552	centarch protoxylem
PO:0025553	mesarch protoxylem
PO:0025554	exarch protoxylem
PO:0025555	root system exarch protoxylem
PO:0025556	shoot system exarch protoxylem
PO:0025557	endarch protoxylem
PO:0025558	monarch protoxylem
PO:0025559	diarch protoxylem
PO:0025560	triarch protoxylem
PO:0025561	tetrarch protoxylem
PO:0025562	pentarch protoxylem
PO:0025563	polyarch protoxylem
PO:0025564	megasporangium tapetum cell
PO:0025565	shoot system xylem sap
PO:0025566	shoot system phloem sap
PO:0025567	root system phloem sap
PO:0025568	root system xylem sap
PO:0025569	free petal
PO:0025575	protoxylem tracheary element
PO:0025576	metaxylem tracheary element
PO:0025577	epicalyx bract
PO:0025578	collective phyllome structure development stage
PO:0025579	phyllome development stage
PO:0025580	fused perianth
PO:0025581	fused corolla
PO:0025582	fused calyx
PO:0025583	fused petal
PO:0025584	fused sepal
PO:0025585	floral organ formation stage
PO:0025587	free sepal
PO:0025588	flower meristem transition stage
PO:0028001	plant life cycle phase
PO:0030001	chloronema cell
PO:0030002	caulonema cell
PO:0030003	protonema
PO:0030004	chloronema
PO:0030005	caulonema
PO:0030006	protonema whole plant development stage
PO:0030007	meristematic apical cell
PO:0030008	root meristematic apical cell
PO:0030009	shoot meristematic apical cell
PO:0030010	shoot axis meristematic apical cell
PO:0030011	leaf meristematic apical cell
PO:0030012	vascular leaf meristematic apical cell
PO:0030013	non-vascular leaf meristematic apical cell
PO:0030014	gametophyte meristematic apical cell
PO:0030015	sporophyte meristematic apical cell
PO:0030016	seta meristematic apical cell
PO:0030017	spore capsule mouth
PO:0030018	gametophore
PO:0030019	gametophore meristematic apical cell
PO:0030020	gametophore axis
PO:0030021	gametophore branch
PO:0030022	gametophore stem
PO:0030023	gametophore axis meristematic apical cell
PO:0030024	vascular shoot axis meristematic apical cell
PO:0030025	thallus meristematic apical cell
PO:0030026	gametophore bud
PO:0030027	thallus
PO:0030028	perigonial bract
PO:0030029	sporophyte foot
PO:0030030	perichaetal bract
PO:0030031	gametophyte perianth
PO:0030032	seta
PO:0030033	antheridiophore
PO:0030034	archegoniophore
PO:0030035	antheridium stalk
PO:0030036	archegonium stalk
PO:0030037	spore capsule calyptra
PO:0030038	venter
PO:0030039	archegonium neck
PO:0030040	sporangium base
PO:0030041	sporangium theca
PO:0030042	peristome
PO:0030043	peristome tooth
PO:0030044	spore capsule operculum
PO:0030045	stereid
PO:0030046	protonema meristematic apical cell
PO:0030047	hydrome
PO:0030048	leptome
PO:0030049	sporangium wall endothecium
PO:0030050	stereome
PO:0030051	central strand
PO:0030052	antheridium jacket layer cell
PO:0030053	antheridium jacket layer
PO:0030054	epiphragm
PO:0030055	pseudopodium
PO:0030056	archesporial cell
PO:0030057	alar cell
PO:0030058	brachycyte
PO:0030059	tmema cell
PO:0030060	gametophore axillary hair
PO:0030061	tmema
PO:0030062	gametophore axillary hair terminal cell
PO:0030063	gametophore axillary hair base
PO:0030064	gametophore axillary hair basal cell
PO:0030065	archegonium neck canal cell
PO:0030066	archegonium neck canal
PO:0030067	protonema side branch initial cell
PO:0030068	epidermal rhizoid initial cell
PO:0030069	paraphyllium
PO:0030070	paraphysis
PO:0030071	epidermal rhizoid
PO:0030072	costa
PO:0030073	exothecium
PO:0030074	archesporium
PO:0030075	antheridium head
PO:0030076	archegonium head
PO:0030077	protonemal side branch rhizoid initial cell
PO:0030078	rhizoid
PO:0030079	protonemal rhizoid
PO:0030080	rhizoid meristematic apical cell
PO:0030081	caulonema meristematic apical cell
PO:0030082	chloronema meristematic apical cell
PO:0030083	gametophore bud initial cell
PO:0030084	amphithecium
PO:0030085	protosporangium endothecium
PO:0030086	protonema sub-apical initial cell
PO:0030087	non-vascular leaf initial cell
