TraitId;TraitName;TraitValues;TraitProperties;OtherProperties;pmcId
178;L. pimpinellifolium;{};{"Wild species used":"BC2F6","Chromosome":"[231]","Mapping population":"1 Q"};{};PMC2267253
179;Frt. organoleptic quality;{};{"Wild species used":"L. esculentum","References":"[143, 410, 415]","Chromosome":"Various chromos.","Mapping population":"RIL"};{};PMC2267253
180;Frt. ostwald;{};{"Wild species used":"L. parviflorum","References":"[234]","Chromosome":"6","Mapping population":"BC3"};{};PMC2267253
181;Frt. pericarp thickness;{};{"Wild species used":"L. pimpinellifolium","References":"[208]","Chromosome":"2,8,10","Mapping population":"BC1"};{};PMC2267253
182;L. parviflorum;{};{"Wild species used":"BC3","Chromosome":"[234]","Mapping population":"7 Q"};{};PMC2267253
183;L. chmielewskii;{};{"Wild species used":"NILs","Chromosome":"[406]","Mapping population":"1 Q"};{};PMC2267253
184;L. pennellii;{};{"Wild species used":"BC2\/BC2F1","Chromosome":"[239]","Mapping population":"2 Q"};{};PMC2267253
185;Frt. pH;{};{"Wild species used":"L. chmielewskii","References":"[167]","Chromosome":"3,6,7,8,10","Mapping population":"BC1, BC2"};{};PMC2267253
186;L. cheesmanii;{};{"Wild species used":"F2, F3","Chromosome":"[232]","Mapping population":"9 Q"};{};PMC2267253
187;L. chmielewskii;{};{"Wild species used":"BILs\/BC2F5","Chromosome":"[101, 416]","Mapping population":"1 Q"};{};PMC2267253
188;L. pimpinellifolium;{};{"Wild species used":"BC2, BC3","Chromosome":"[286]","Mapping population":"5 Q"};{};PMC2267253
189;L. peruvianum;{};{"Wild species used":"BC3, BC4","Chromosome":"[240]","Mapping population":"6 Q"};{};PMC2267253
190;L. hirsutum;{};{"Wild species used":"BC2, BC3","Chromosome":"[283]","Mapping population":"10 Q"};{};PMC2267253
191;L. pimpinellifolium;{};{"Wild species used":"BC1S1","Chromosome":"[414]","Mapping population":"6 Q"};{};PMC2267253
192;L. parviflorum;{};{"Wild species used":"BC3","Chromosome":"[234]","Mapping population":"10 Q"};{};PMC2267253
193;L. esculentum;{};{"Wild species used":"RIL","Chromosome":"[410]","Mapping population":"2 Q"};{};PMC2267253
194;L. pennellii;{};{"Wild species used":"BC2\/BC2F1","Chromosome":"[239]","Mapping population":"2 Q"};{};PMC2267253
195;L. pennellii;{};{"Wild species used":"ILs","Chromosome":"[297]","Mapping population":"11 Q"};{};PMC2267253
196;Frt. phenolic content;{};{"Wild species used":"L. pennellii","References":"[300]","Chromosome":"3,5,6,7,8,9","Mapping population":"ILs"};{};PMC2267253
197;									Frt. puffiness;{};{"Wild species used":"L. pimpinellifolium","References":"[286]","Chromosome":"2,8,9,11","Mapping population":"BC2, BC3"};{};PMC2267253
198;L. peruvianum;{};{"Wild species used":"BC3, BC4","Chromosome":"[240]","Mapping population":"1 Q"};{};PMC2267253
199;L. hirsutum;{};{"Wild species used":"BC2, BC3","Chromosome":"[283]","Mapping population":"1 Q"};{};PMC2267253
200;L. parviflorum;{};{"Wild species used":"BC3","Chromosome":"[234]","Mapping population":"13 Q"};{};PMC2267253
201;L. pimpinellifolium;{};{"Wild species used":"BC2F6","Chromosome":"[231]","Mapping population":"3 Q"};{};PMC2267253
202;L. pennellii;{};{"Wild species used":"BC2\/BC2F1","Chromosome":"[239]","Mapping population":"4 Q"};{};PMC2267253
203;Frt. reducing sugar;{};{"Wild species used":"L. pennellii","References":"[297]","Chromosome":"1,2,4,5,7,8,9,10,11,12","Mapping population":"ILs"};{};PMC2267253
204;									Frt. ripening;{};{"Wild species used":"L. esculentum","References":"[417]","Chromosome":"5,12","Mapping population":"F2"};{};PMC2267253
205;L. pennellii;{};{"Wild species used":"F2","Chromosome":"[160, 418]","Mapping population":"Many loci"};{};PMC2267253
206;L. pimpinellifolium;{};{"Wild species used":"BC1","Chromosome":"[208]","Mapping population":"3 Q"};{};PMC2267253
207;L. pimpinellifolium;{};{"Wild species used":"BC2, BC3","Chromosome":"[286]","Mapping population":"4 Q"};{};PMC2267253
208;L. peruvianum;{};{"Wild species used":"BC3, BC4","Chromosome":"[240]","Mapping population":"4 Q"};{};PMC2267253
209;									Frt. ripening (alcobaca);{};{"Wild species used":"L. esculentum","References":"[159]","Chromosome":"10","Mapping population":"F2"};{};PMC2267253
210;L. pimpinellifolium;{};{"Wild species used":"BC1","Chromosome":"[160]","Mapping population":"alc"};{};PMC2267253
211;Frt. ripening (colorless nonripening);{};{"Wild species used":"L. esculentum, L. cheesmanii","References":"[419, 420]","Chromosome":"2","Mapping population":"F2"};{};PMC2267253
212;Frt. ripening (never ripe);{};{"Wild species used":"L. esculentum, L. cheesmanii","References":"[421\u2013423]","Chromosome":"9","Mapping population":"F2"};{};PMC2267253
213;Frt. ripening (nonripening);{};{"Wild species used":"L. pennellii L. cheesmanii","References":"[153, 155, 158, 424, 425]","Chromosome":"10","Mapping population":"F2"};{};PMC2267253
214;Frt. ripening (polygalacturonase);{};{"Wild species used":"L. pimpinellifolium","References":"[160]","Chromosome":"10","Mapping population":"BC1"};{};PMC2267253
215;Frt. ripening (ripening-inhibitor);{};{"Wild species used":"L. pennellii L. cheesmanii","References":"[153, 155, 158, 424, 425]","Chromosome":"5","Mapping population":"F2"};{};PMC2267253
216;Frt. ripening (uniform ripening);{};{"Wild species used":"L. pimpinellifolium","References":"[160]","Chromosome":"10","Mapping population":"BC1"};{};PMC2267253
217;Frt. rotten;{};{"Wild species used":"L. pimpinellifolium","References":"[231]","Chromosome":"2,8,9","Mapping population":"BC2F6"};{};PMC2267253
218;L. pennellii;{};{"Wild species used":"BC2\/BC2F1","Chromosome":"[239]","Mapping population":"5 Q"};{};PMC2267253
219;Frt. sensory attributes;{};{"Wild species used":"L. esculentum","References":"[143, 415]","Chromosome":"Various chromosomes","Mapping population":"RIL"};{};PMC2267253
220;Frt. set (fertility);{};{"Wild species used":"L. pimpinellifolium","References":"[231]","Chromosome":"4,5,7","Mapping population":"BC2F6"};{};PMC2267253
221;L. pennellii;{};{"Wild species used":"BC2\/BC2F1","Chromosome":"[239]","Mapping population":"3 Q"};{};PMC2267253
222;Frt. shape;{};{"Wild species used":"L. pimpinellifolium","References":"[286]\t\t\t\t\t\t\t\t","Chromosome":"1,2,8","Mapping population":"BC2, BC3"};{};PMC2267253
223;L. pimpinellifolium;{};{"Wild species used":"BC1","Chromosome":"[208]","Mapping population":"2 Q"};{};PMC2267253
224;L. peruvianum;{};{"Wild species used":"BC3, BC4","Chromosome":"[240]","Mapping population":"12 Q"};{};PMC2267253
225;L. hirsutum;{};{"Wild species used":"BC2, BC3","Chromosome":"[283]","Mapping population":"9 Q"};{};PMC2267253
226;L. pimpinellifolium;{};{"Wild species used":"BC1S1","Chromosome":"[414]","Mapping population":"4 Q"};{};PMC2267253
227;L. hirsutum;{};{"Wild species used":"subNILs","Chromosome":"[405]","Mapping population":"1 Q"};{};PMC2267253
228;Frt. shape (bumpiness);{};{"Wild species used":"L. pimpinellifolium","References":"[427]","Chromosome":"8,9,11","Mapping population":"F2"};{};PMC2267253
229;Frt. shape (bell pepper);{};{"Wild species used":"L. pimpinellifolium","References":"[427]","Chromosome":"2,8","Mapping population":"F2"};{};PMC2267253
230;L. pennellii;{};{"Wild species used":"F2","Chromosome":"[428]","Mapping population":"1 Q"};{};PMC2267253
231;Frt. shape (blossom-end blockiness I);{};{"Wild species used":"L. pimpinellifolium","References":"[427]","Chromosome":"2","Mapping population":"F2"};{};PMC2267253
232;Frt. shape (elongated);{};{"Wild species used":"L. pimpinellifolium","References":"[427]","Chromosome":"6,9","Mapping population":"F2"};{};PMC2267253
233;Frt. shape (heart);{};{"Wild species used":"L. pimpinellifolium","References":"[427]","Chromosome":"1,2,3,7","Mapping population":"F2"};{};PMC2267253
234;Frt. shape (pear);{};{"Wild species used":"L. pimpinellifolium","References":"[428]","Chromosome":"2,10","Mapping population":"F2"};{};PMC2267253
235;Frt. shape (stem-end blockiness);{};{"Wild species used":"L. pimpinellifolium","References":"[427]","Chromosome":"1,2,3,7,8,12","Mapping population":"F2"};{};PMC2267253
236;Frt. shoulder pigmentation;{};{"Wild species used":"L. hirsutum","References":"[405]","Chromosome":"1","Mapping population":"subNILs"};{};PMC2267253
237;L. parviflorum;{};{"Wild species used":"BC3","Chromosome":"[234]","Mapping population":"1 Q"};{};PMC2267253
238;Frt. size;{};{"Wild species used":"L. pennellii","References":"[239]","Chromosome":"2,3,10,12","Mapping population":"BC2\/BC2F1"};{};PMC2267253
239;Frt. skin reticulation;{};{"Wild species used":"L. pennellii","References":"[239]","Chromosome":"2,4,5,8","Mapping population":"BC2\/BC2F1"};{};PMC2267253
240;Frt. soluble solids (SS);{};{"Wild species used":"L. chmielewskii","References":"[429]","Chromosome":"Undetermined","Mapping population":"NIL F2"};{};PMC2267253
241;L. chmielewskii;{};{"Wild species used":"BC1, BC2","Chromosome":"[167, 430]","Mapping population":"4 Q"};{};PMC2267253
242;L. cheesmanii;{};{"Wild species used":"F2, F3","Chromosome":"[232]","Mapping population":"7 Q"};{};PMC2267253
243;L. chmielewskii;{};{"Wild species used":"BILs\/BC2F5","Chromosome":"[101]","Mapping population":"3 Q"};{};PMC2267253
244;L. pennellii;{};{"Wild species used":"ILs","Chromosome":"[298]","Mapping population":"3 Q"};{};PMC2267253
245;L. chmielewskii;{};{"Wild species used":"BC2F5","Chromosome":"[101, 416]","Mapping population":"1 Q"};{};PMC2267253
246;L. cheesmanii;{};{"Wild species used":"F8 RIL","Chromosome":"[279]","Mapping population":"12 Q"};{};PMC2267253
247;L. pennellii;{};{"Wild species used":"ILs","Chromosome":"[238]","Mapping population":"23 Q"};{};PMC2267253
248;L. pimpinellifolium;{};{"Wild species used":"BC2, BC3","Chromosome":"[286]","Mapping population":"12 Q"};{};PMC2267253
249;L. pimpinellifolium;{};{"Wild species used":"BC1","Chromosome":"[208]","Mapping population":"3 Q"};{};PMC2267253
250;L. peruvianum;{};{"Wild species used":"BC3, BC4","Chromosome":"[240]","Mapping population":"9 Q"};{};PMC2267253
251;L. hirsutum;{};{"Wild species used":"BC2, BC3","Chromosome":"[283]","Mapping population":"5 Q"};{};PMC2267253
252;L. pimpinellifolium;{};{"Wild species used":"BC1S1","Chromosome":"[414]","Mapping population":"13 Q"};{};PMC2267253
253;L. hirsutum;{};{"Wild species used":"subNILs","Chromosome":"[405]","Mapping population":"1 Q"};{};PMC2267253
254;L. parviflorum;{};{"Wild species used":"BC3","Chromosome":"[234]","Mapping population":"5 Q"};{};PMC2267253
255;L. esculentum;{};{"Wild species used":"RIL","Chromosome":"[410]","Mapping population":"3 Q"};{};PMC2267253
256;L. pimpinellifolium;{};{"Wild species used":"BC2F6","Chromosome":"[231]","Mapping population":"2 Q"};{};PMC2267253
257;L. chmielewskii;{};{"Wild species used":"NILs","Chromosome":"[406]","Mapping population":"1 Q"};{};PMC2267253
258;L. hirsutum;{};{"Wild species used":"NILs","Chromosome":"[406]","Mapping population":"1 Q"};{};PMC2267253
259;L. pennellii;{};{"Wild species used":"BC2\/BC2F1","Chromosome":"[239]","Mapping population":"3 Q"};{};PMC2267253
260;L. pennellii;{};{"Wild species used":"ILs","Chromosome":"[297]","Mapping population":"9 Q"};{};PMC2267253
261;									Frt. SS × red yield;{};{"Wild species used":"L. pennellii","References":"[238]","Chromosome":"Most chromosomes","Mapping population":"ILs"};{};PMC2267253
262;L. pimpinellifolium;{};{"Wild species used":"BC2, BC3","Chromosome":"[286]","Mapping population":"4 Q"};{};PMC2267253
263;L. peruvianum;{};{"Wild species used":"BC3, BC4","Chromosome":"[240]","Mapping population":"9 Q"};{};PMC2267253
264;L. hirsutum;{};{"Wild species used":"BC2, BC3","Chromosome":"[283]","Mapping population":"9 Q"};{};PMC2267253
265;L. parviflorum;{};{"Wild species used":"BC3","Chromosome":"[234]","Mapping population":"2 Q"};{};PMC2267253
266;L. pennellii;{};{"Wild species used":"BC2\/BC2F1","Chromosome":"[239]","Mapping population":"4 Q"};{};PMC2267253
267;Frt. stem release (%);{};{"Wild species used":"L. pimpinellifolium","References":"[286]","Chromosome":"1,2,3,10","Mapping population":"BC2, BC3"};{};PMC2267253
268;L. peruvianum;{};{"Wild species used":"BC3, BC4","Chromosome":"[240]","Mapping population":"5 Q"};{};PMC2267253
269;L. parviflorum;{};{"Wild species used":"BC3","Chromosome":"[234]","Mapping population":"6"};{};PMC2267253
270;									Frt. stem retention (%);{};{"Wild species used":"L. hirsutum","References":"[283]","Chromosome":"2,8,9,10,11","Mapping population":"BC2, BC3"};{};PMC2267253
271;L. pennellii;{};{"Wild species used":"BC2\/BC2F1","Chromosome":"[239]","Mapping population":"9 Q"};{};PMC2267253
272;									Frt. stem scar size;{};{"Wild species used":"L. parviflorum","References":"[234]","Chromosome":"2,3,4,5,6,7,8,9,10,11","Mapping population":"BC3"};{};PMC2267253
273;L. pimpinellifolium;{};{"Wild species used":"BC2F6","Chromosome":"[231]","Mapping population":"7 Q"};{};PMC2267253
274;L. chmielewskii;{};{"Wild species used":"NILs","Chromosome":"[406]","Mapping population":"1 Q"};{};PMC2267253
275;L. hirsutum;{};{"Wild species used":"NILs","Chromosome":"[406]","Mapping population":"1 Q"};{};PMC2267253
276;Frt. stem scar penetration (veins);{};{"Wild species used":"L. parviflorum","References":"[234]","Chromosome":"1,6","Mapping population":"BC3"};{};PMC2267253
277;L. pennellii;{};{"Wild species used":"BC2\/BC2F1","Chromosome":"[239]","Mapping population":"2 Q"};{};PMC2267253
278;									Frt. sugar content;{};{"Wild species used":"L. esculentum","References":"[410]","Chromosome":"2,3,10,11","Mapping population":"RIL"};{};PMC2267253
279;L. esculentum var. cerasifomee;{};{"Wild species used":"F2","Chromosome":"[112]","Mapping population":"6 Q"};{};PMC2267253
280;Frt. sunscald;{};{"Wild species used":"L. pimpinellifolium","References":"[286]","Chromosome":"7,8","Mapping population":"BC2, BC3"};{};PMC2267253
281;L. peruvianum;{};{"Wild species used":"BC3, BC4","Chromosome":"[240]","Mapping population":"4 Q"};{};PMC2267253
282;									Frt. titratable acidity;{};{"Wild species used":"L. esculentum","References":"[410]","Chromosome":"1,2,3,9,12","Mapping population":"RIL"};{};PMC2267253
283;L. pennellii;{};{"Wild species used":"ILs","Chromosome":"[297]","Mapping population":"15 Q"};{};PMC2267253
284;Frt. total acid;{};{"Wild species used":"L. parviflorum","References":"[234]","Chromosome":"3,4,7,8","Mapping population":"BC3"};{};PMC2267253
285;Frt. total organic acid;{};{"Wild species used":"L. parviflorum","References":"[234]","Chromosome":"9,12","Mapping population":"BC3"};{};PMC2267253
286;Frt. viscosity;{};{"Wild species used":"L. pimpinellifolium","References":"[286]","Chromosome":"9","Mapping population":"BC2, BC3"};{};PMC2267253
287;L. peruvianum;{};{"Wild species used":"BC3, BC4","Chromosome":"[240]","Mapping population":"4 Q"};{};PMC2267253
288;L. hirsutum;{};{"Wild species used":"BC2, BC3","Chromosome":"[283]","Mapping population":"2 Q"};{};PMC2267253
289;L. parviflorum;{};{"Wild species used":"BC3","Chromosome":"[234]","Mapping population":"3 Q"};{};PMC2267253
290;L. pennellii;{};{"Wild species used":"BC2\/BC2F1","Chromosome":"[239]","Mapping population":"4 Q"};{};PMC2267253
291;									Frt. weight;{};{"Wild species used":"L. pennellii","References":"[274]","Chromosome":"2,4,8","Mapping population":"BC1"};{};PMC2267253
292;L. chmielewskii;{};{"Wild species used":"BC1, BC2","Chromosome":"[167, 430]","Mapping population":"6 Q"};{};PMC2267253
293;L. cheesmanii;{};{"Wild species used":"F2, F3","Chromosome":"[232]","Mapping population":"11 Q"};{};PMC2267253
294;L. cheesmanii;{};{"Wild species used":"F8 RIL","Chromosome":"[279]","Mapping population":"13 Q"};{};PMC2267253
295;L. pennellii;{};{"Wild species used":"ILs","Chromosome":"[238]","Mapping population":"18 Q"};{};PMC2267253
296;L. pimpinellifolium;{};{"Wild species used":"BC1","Chromosome":"[208]","Mapping population":"7 Q"};{};PMC2267253
297;L. pimpinellifolium;{};{"Wild species used":"BC2, BC3","Chromosome":"[286]","Mapping population":"8 Q"};{};PMC2267253
298;L. peruvianum;{};{"Wild species used":"BC3, BC4","Chromosome":"[240]","Mapping population":"10 Q"};{};PMC2267253
299;L. hirsutum;{};{"Wild species used":"BC1","Chromosome":"[235]","Mapping population":"3 Q"};{};PMC2267253
300;L. hirsutum;{};{"Wild species used":"BC2, BC3","Chromosome":"[283]","Mapping population":"3 Q"};{};PMC2267253
301;L. pimpinellifolium;{};{"Wild species used":"BC1S1","Chromosome":"[414]","Mapping population":"12 Q"};{};PMC2267253
302;L. parviflorum;{};{"Wild species used":"BC3","Chromosome":"[234]","Mapping population":"8 Q"};{};PMC2267253
303;L. esculenum;{};{"Wild species used":"F2","Chromosome":"[417]","Mapping population":"2 Q"};{};PMC2267253
304;L. pimpinellifolium;{};{"Wild species used":"F2","Chromosome":"[40]","Mapping population":"6 Q"};{};PMC2267253
305;L. esculentum;{};{"Wild species used":"RIL","Chromosome":"[410]","Mapping population":"5 Q"};{};PMC2267253
306;L. pimpinellifolium;{};{"Wild species used":"BC2F6","Chromosome":"[231]","Mapping population":"2 Q"};{};PMC2267253
307;L. pimpinellifolium;{};{"Wild species used":"F2","Chromosome":"[427]","Mapping population":"7 Q"};{};PMC2267253
308;L. pennellii;{};{"Wild species used":"BC2\/BC2F1","Chromosome":"[239]","Mapping population":"3 Q"};{};PMC2267253
309;L. pennellii;{};{"Wild species used":"ILs","Chromosome":"[297]","Mapping population":"13 Q"};{};PMC2267253
310;									Frt. yield (total yield);{};{"Wild species used":"L. chmielewskii","References":"[101]","Chromosome":"7","Mapping population":"BILs\/BC2F5"};{};PMC2267253
311;L. pennellii;{};{"Wild species used":"ILs","Chromosome":"[238]","Mapping population":"11 Q"};{};PMC2267253
312;L. pimpinellifolium;{};{"Wild species used":"BC2, BC3","Chromosome":"[286]","Mapping population":"6 Q"};{};PMC2267253
313;L. peruvianum;{};{"Wild species used":"BC3, BC4","Chromosome":"[240]","Mapping population":"10 Q"};{};PMC2267253
314;L. hirsutum;{};{"Wild species used":"BC2, BC3","Chromosome":"[283]","Mapping population":"12 Q"};{};PMC2267253
315;L. hirsutum;{};{"Wild species used":"subNILs","Chromosome":"[405]","Mapping population":"1 Q"};{};PMC2267253
316;L. parviflorum;{};{"Wild species used":"BC3","Chromosome":"[234]","Mapping population":"5 Q\t"};{};PMC2267253
317;L. pennellii;{};{"Wild species used":"BC2\/BC2F1","Chromosome":"[239]","Mapping population":"6 Q"};{};PMC2267253
318;									Frt. yield (red yield);{};{"Wild species used":"L. pimpinellifolium","References":"[286]","Chromosome":"2,7","Mapping population":"BC2, BC3"};{};PMC2267253
319;L. peruvianum;{};{"Wild species used":"BC3, BC4","Chromosome":"[240]","Mapping population":"12 Q"};{};PMC2267253
320;L. hirsutum;{};{"Wild species used":"BC2, BC3","Chromosome":"[283]","Mapping population":"11 Q"};{};PMC2267253
321;L. parviflorum;{};{"Wild species used":"BC3","Chromosome":"[234]","Mapping population":"4 Q"};{};PMC2267253
322;L. pennellii;{};{"Wild species used":"BC2\/BC2F1","Chromosome":"[239]","Mapping population":"4 Q"};{};PMC2267253
323;Frt. yield (green yield);{};{"Wild species used":"L. hirsutum","References":"[283]","Chromosome":"2,3,7,8,11,12","Mapping population":"BC2, BC3"};{};PMC2267253
324;L. pennellii;{};{"Wild species used":"BC2\/BC2F1","Chromosome":"[239]","Mapping population":"3 Q"};{};PMC2267253
325;Jointless;{};{"Wild species used":"L. cheesmanii","References":"[176, 431]","Chromosome":"11","Mapping population":"F2"};{};PMC2267253
326;L. cheesmanii;{};{"Wild species used":"F2","Chromosome":"[432]","Mapping population":"j-2"};{};PMC2267253
327;Phytochrome genes;{};{"Wild species used":"L. esculentum L. pennellii","References":"[121]","Chromosome":"1, 2, 5, 7, 10","Mapping population":"BC1"};{};PMC2267253
328;2 Q;{};{"Wild species used":"L. pimpinellifolium","References":"[208]","Chromosome":"6,7","Mapping population":"BC1"};{};PMC2267253
329;2 Q;{};{"Wild species used":"L. pimpinellifolium","References":"[208]","Chromosome":"2,7","Mapping population":"BC1"};{};PMC2267253
330;23 G;{};{"Wild species used":"L. pennellii","References":"[294]","Chromosome":"Most chromosomes","Mapping population":"ILs"};{};PMC2267253
331;2 Q;{};{"Wild species used":"L. hirsutum","References":"[235]","Chromosome":"2,8","Mapping population":"BC1"};{};PMC2267253
332;4 Q;{};{"Wild species used":"L. pennellii","References":"[274]","Chromosome":"1,2,7","Mapping population":"BC1"};{};PMC2267253
333;12;{};{"Wild species used":"BC1","Chromosome":"[235]","Mapping population":"1 Q"};{};PMC2267253
334;2,9;{};{"Wild species used":"BC3, BC4","Chromosome":"[240]","Mapping population":"2 Q"};{};PMC2267253
335;1 Q;{};{"Wild species used":"L. pennellii","References":"[404]","Chromosome":"11","Mapping population":"F2"};{};PMC2267253
336;2 Q;{};{"Wild species used":"L. pennellii","References":"[404]","Chromosome":"7,12","Mapping population":"F2"};{};PMC2267253
337;1 Q;{};{"Wild species used":"L. pennellii","References":"[404]","Chromosome":"11","Mapping population":"F2"};{};PMC2267253
338;1 Q;{};{"Wild species used":"L. pennellii","References":"[404]","Chromosome":"12","Mapping population":"F2"};{};PMC2267253
339;2 Q;{};{"Wild species used":"L. pennellii","References":"[404]","Chromosome":"7,12","Mapping population":"F2"};{};PMC2267253
340;2 Q;{};{"Wild species used":"L. pennellii","References":"[404]","Chromosome":"5,9","Mapping population":"F2"};{};PMC2267253
341;3 Q;{};{"Wild species used":"L. pennellii","References":"[404]","Chromosome":"5,8,11","Mapping population":"F2"};{};PMC2267253
342;2 Q;{};{"Wild species used":"L. pennellii","References":"[404]","Chromosome":"2,11","Mapping population":"F2"};{};PMC2267253
343;1 Q;{};{"Wild species used":"L. pennellii","References":"[404]","Chromosome":"3","Mapping population":"F2"};{};PMC2267253
344;1 Q;{};{"Wild species used":"L. pennellii","References":"[404]","Chromosome":"3","Mapping population":"F2"};{};PMC2267253
345;2 Q;{};{"Wild species used":"L. pennellii","References":"[404]","Chromosome":"5,8","Mapping population":"F2"};{};PMC2267253
346;5 Q;{};{"Wild species used":"L. pennellii","References":"[300]","Chromosome":"3,6,7,10","Mapping population":"ILs"};{};PMC2267253
347;6 Q;{};{"Wild species used":"L. pennellii","References":"[300]","Chromosome":"3,5,10,12","Mapping population":"ILs"};{};PMC2267253
348;7 Q;{};{"Wild species used":"L. pennellii","References":"[297]","Chromosome":"4,5,8,9,10","Mapping population":"ILs"};{};PMC2267253
349;2 Q;{};{"Wild species used":"L. pimpinellifolium","References":"[208]","Chromosome":"2,6","Mapping population":"BC1"};{};PMC2267253
350;2,3,4,7,8;{};{"Wild species used":"BC2, BC3","Chromosome":"[286]","Mapping population":"5 Q"};{};PMC2267253
351;1,6,7,8,9,10,12;{};{"Wild species used":"BC3, BC4","Chromosome":"[240]","Mapping population":"8 Q"};{};PMC2267253
352;1,2,4,5,7,8,9,10,11;{};{"Wild species used":"BC2, BC3","Chromosome":"[283]","Mapping population":"15 Q"};{};PMC2267253
353;1;{};{"Wild species used":"subNILs","Chromosome":"[405]","Mapping population":"1 Q"};{};PMC2267253
354;1,2,4,5,7,8,11,12;{};{"Wild species used":"BC3","Chromosome":"[234]","Mapping population":"9 Q (visual test)"};{};PMC2267253
355;4;{};{"Wild species used":"","Chromosome":"[234]","Mapping population":"4 Q (spec. test)"};{};PMC2267253
356;1;{};{"Wild species used":"NILs","Chromosome":"[406]","Mapping population":"1 Q"};{};PMC2267253
357;1;{};{"Wild species used":"NILs","Chromosome":"[406]","Mapping population":"1 Q"};{};PMC2267253
358;12;{};{"Wild species used":"BC2\/BC2F1","Chromosome":"[239]","Mapping population":"1 Q"};{};PMC2267253
359;1 G (B);{};{"Wild species used":"L. cheesmannii L. hirsutum L. pennellii","References":"[131, 220, 407\u2013409]","Chromosome":"6","Mapping population":"F2, ILs"};{};PMC2267253
360;2,4,8,9,10,11;{};{"Wild species used":"BC3","Chromosome":"[234]","Mapping population":"6 Q"};{};PMC2267253
361;6;{};{"Wild species used":"ILs","Chromosome":"[220, 299]","Mapping population":"1 G (B)"};{};PMC2267253
362;6;{};{"Wild species used":"ILs","Chromosome":"[300]","Mapping population":"2 Q"};{};PMC2267253
363;3 Q;{};{"Wild species used":"L. esculentum","References":"[410]","Chromosome":"2,3,8","Mapping population":"RIL"};{};PMC2267253
364;1 G (ogc, cr);{};{"Wild species used":"L. esculentum","References":"[131\u2013133, 299, 411]","Chromosome":"6","Mapping population":"F2"};{};PMC2267253
365;9 Q;{};{"Wild species used":"L. parviflorum","References":"[234]","Chromosome":"1,2,4,5,7,8,11,12","Mapping population":"BC3"};{};PMC2267253
366;3,11;{};{"Wild species used":"BC2F6","Chromosome":"[231]","Mapping population":"2 Q"};{};PMC2267253
367;5,12;{};{"Wild species used":"BC2\/BC2F1","Chromosome":"[239]","Mapping population":"2 Q"};{};PMC2267253
368;1 G (hp-1);{};{"Wild species used":"L. esculentum, L. cheesmannii","References":"[120, 412]","Chromosome":"2","Mapping population":"F2"};{};PMC2267253
369;1 G (hp-2);{};{"Wild species used":"L. esculentum, L. pennellii","References":"[121, 413]","Chromosome":"1","Mapping population":"BC1"};{};PMC2267253
370;15 Q;{};{"Wild species used":"L. parviflorum","References":"[234]","Chromosome":"1,2,4,5,7,8,9,10,11,12","Mapping population":"BC3"};{};PMC2267253
371;3,11;{};{"Wild species used":"BC2F6","Chromosome":"[231]","Mapping population":"3 Q"};{};PMC2267253
372;12;{};{"Wild species used":"BC2\/BC2F1","Chromosome":"[239]","Mapping population":"1 Q"};{};PMC2267253
373;Most chromosomes;{};{"Wild species used":"ILs","Chromosome":"[294]","Mapping population":"16 Q"};{};PMC2267253
374;8 Q;{};{"Wild species used":"L. pimpinellifolium","References":"[414]","Chromosome":"1,4,5,6,7,10,12","Mapping population":"BC1S1"};{};PMC2267253
375;2,3,5,8,12;{};{"Wild species used":"BC3","Chromosome":"[234]","Mapping population":"5 Q"};{};PMC2267253
376;4,11;{};{"Wild species used":"RIL","Chromosome":"[410]","Mapping population":"2 Q"};{};PMC2267253
377;3,6;{};{"Wild species used":"ILs","Chromosome":"[300]","Mapping population":"2 Q"};{};PMC2267253
378;2 Q;{};{"Wild species used":"L. pennellii","References":"[239]","Chromosome":"11,12","Mapping population":"BC2\/BC2F1"};{};PMC2267253
379;1 Q;{};{"Wild species used":"L. parviflorum","References":"[234]","Chromosome":"12","Mapping population":"BC3"};{};PMC2267253
380;5 Q;{};{"Wild species used":"L. pennellii","References":"[239]","Chromosome":"2,5,8,10,12","Mapping population":"BC2\/BC2F1"};{};PMC2267253
381;3 Q;{};{"Wild species used":"L. pimpinellifolium","References":"[231]","Chromosome":"2,8,9","Mapping population":"BC2F6"};{};PMC2267253
382;2 Q;{};{"Wild species used":"L. pimpinellifolium","References":"[231]","Chromosome":"2,9","Mapping population":"BC2F6"};{};PMC2267253
383;3 Q;{};{"Wild species used":"L. pimpinellifolium","References":"[208]","Chromosome":"1,2,8","Mapping population":"BC1"};{};PMC2267253
384;1,2,3,6,7,11;{};{"Wild species used":"BC1S1","Chromosome":"[414]","Mapping population":"8 Q"};{};PMC2267253
385;1,2,3,4,7,11;{};{"Wild species used":"F2","Chromosome":"[40]","Mapping population":"7 Q"};{};PMC2267253
386;2,3,11,12;{};{"Wild species used":"RIL","Chromosome":"[410]","Mapping population":"5 Q"};{};PMC2267253
387;2;{};{"Wild species used":"BC2F6","Chromosome":"[231]","Mapping population":"12 Q"};{};PMC2267253
388;5 Q;{};{"Wild species used":"L. esculentum","References":"[410]","Chromosome":"1,2,3,4,9","Mapping population":"RIL"};{};PMC2267253
389;4 Q;{};{"Wild species used":"L. parviflorum","References":"[234]","Chromosome":"4,6,8,12","Mapping population":"BC3"};{};PMC2267253
